No,;Time;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
19;3.792.393;792393;2606:50c0:8001::154;TCP;75;51469  >  443 [ACK] Seq=1 Ack=1 Win=508 Len=1 [TCP segment of a reassembled PDU];;;3,792393;3,819893;0,0275;;-1,130905;1,158405;2,28931
20;3.819.893;2606:50c0:8001::154;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;86;443  >  51469 [ACK] Seq=1 Ack=2 Win=338 Len=0 SLE=1 SRE=2;;;3,819893;4,978298;1,158405;;1,14224;0,016165;-1,126075
22;4.978.298;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TLSv1.2;901;Application Data;;;4,978298;4,994463;0,016165;;0,016165;0;-0,016165
23;4.994.463;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.2;662;Application Data;;;4,994463;4,994463;0;;0;0;0
24;4.994.463;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=589 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;4,994463;4,994463;0;;0;0;0
25;4.994.463;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=2001 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;4,994463;4,994463;0;;0;0;0
26;4.994.463;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=3413 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;4,994463;4,994463;0;;-8,4E-05;8,4E-05;0,000168
27;4.994.463;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=4825 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;4,994463;4,994547;8,4E-05;;-0,000104;0,000188;0,000292
28;4.994.547;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=828 Ack=6237 Win=3088 Len=0;;;4,994547;4,994735;0,000188;;0,000188;0;-0,000188
29;4.994.735;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=6237 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;4,994735;4,994735;0;;0;0;0
